Date,Open,High,Low,Close,Adj Close,Volume
2013-10-27,null,null,null,null,null,null
2013-11-03,7.128000,7.301000,7.044000,7.121000,6.606113,27897618
2013-11-10,7.173000,7.300000,6.765000,7.096000,6.582921,66873759
2013-11-17,7.086000,7.380000,7.041000,7.277000,6.750834,33892706
2013-11-24,7.308000,7.520000,7.304000,7.470000,6.929878,27169311
2013-12-01,7.500000,7.589000,7.332000,7.498000,6.955854,32770451
2013-12-08,7.516000,7.575000,7.263000,7.289000,6.761966,28606454
2013-12-15,7.265000,7.640000,7.201000,7.607000,7.056973,33204164
2013-12-22,7.640000,7.794000,7.619000,7.768000,7.206332,8348356
2013-12-29,7.738000,7.837000,7.659000,7.732000,7.172935,12877608
2014-01-05,7.730000,7.756000,7.462000,7.536000,6.991106,28379340
2014-01-12,7.550000,7.773000,7.412000,7.697000,7.140466,39166229
2014-01-19,7.679000,7.800000,7.352000,7.378000,6.844531,37185686
2014-01-26,7.388000,7.770000,7.231000,7.656000,7.102430,61465111
2014-02-02,7.710000,7.727000,7.331000,7.501000,6.958637,40661768
2014-02-09,7.552000,7.834000,7.500000,7.817000,7.251789,38496894
2014-02-16,7.830000,7.924000,7.650000,7.893000,7.437651,32551060
2014-02-23,7.880000,8.250000,7.821000,8.220000,7.745787,37011845
2014-03-02,8.012000,8.665000,7.937000,8.410000,7.924825,47554428
2014-03-09,8.360000,8.475000,7.841000,7.924000,7.466862,34243487
2014-03-16,8.000000,8.589000,7.980000,8.470000,7.981364,43985706
2014-03-23,8.484000,8.650000,8.246000,8.579000,8.084076,31069533
2014-03-30,8.630000,8.979000,8.610000,8.742000,8.237672,34695136
2014-04-06,8.565000,8.613000,8.058000,8.143000,7.673227,39216423
2014-04-13,8.030000,8.425000,7.905000,8.409000,7.923883,32019853
2014-04-20,8.409000,8.559000,8.233000,8.239000,7.763690,26600776
2014-04-27,8.290000,8.645000,8.086000,8.274000,7.796671,36748608
2014-05-04,8.241000,8.669000,8.036000,8.551000,8.057690,37445424
2014-05-11,8.610000,8.874000,8.416000,8.482000,7.992671,29536749
2014-05-18,8.497000,8.706000,8.443000,8.646000,8.147210,19130148
2014-05-25,8.700000,9.160000,8.700000,9.099000,8.574076,27812892
2014-06-01,9.062000,9.178000,8.849000,9.159000,8.630615,29054161
2014-06-08,9.140000,9.211000,8.972000,9.100000,8.575019,20837281
2014-06-15,9.082000,9.450000,9.081000,9.377000,8.836039,32123337
2014-06-22,9.422000,9.437000,8.961000,9.041000,8.519423,27063493
2014-06-29,9.090000,9.462000,9.090000,9.319000,8.781384,20804329
2014-07-06,9.334000,9.387000,8.861000,8.963000,8.445922,28654291
2014-07-13,9.000000,9.210000,8.741000,9.150000,8.622133,30231897
2014-07-20,9.148000,9.380000,8.887000,8.909000,8.395038,29474462
2014-07-27,8.950000,8.980000,8.107000,8.376000,7.892787,61447540
2014-08-03,8.392000,8.405000,7.967000,8.222000,7.747670,34053654
2014-08-10,8.303000,8.630000,8.161000,8.440000,7.953094,30178492
2014-08-17,8.572000,8.850000,8.439000,8.734000,8.230134,37568322
2014-08-24,8.839000,8.960000,8.746000,8.845000,8.334729,23579737
2014-08-31,8.850000,9.115000,8.797000,9.047000,8.525077,26160344
2014-09-07,9.055000,9.161000,9.000000,9.018000,8.497749,20077436
2014-09-14,8.950000,9.025000,8.704000,8.996000,8.477017,34092847
2014-09-21,8.924000,8.985000,8.314000,8.523000,8.031305,41238109
2014-09-28,8.535000,8.580000,7.851000,7.855000,7.401843,37612517
2014-10-05,8.010000,8.045000,7.141000,7.174000,6.760130,57280592
